timestamp,ch_0,ch_1,ch_2,ch_3,anomali,tur,sutunlar
2024-12-12 17:30:00,748.0,4.3,39.7,3.172,0,normal,-
2024-12-12 17:35:00,747.0,4.7,40.2,3.113,0,normal,-
2024-12-12 17:40:00,743.0,5.0,40.4,3.149,0,normal,-
2024-12-12 17:45:00,749.0,5.0,40.4,3.006,0,normal,-
2024-12-12 17:50:00,753.0,5.0,40.8,3.283,0,normal,-
2024-12-12 17:55:00,751.0,4.7,40.9,3.024,0,normal,-
2024-12-12 18:00:00,748.0,4.7,40.4,3.252,0,normal,-
2024-12-12 18:05:00,750.0,5.0,40.8,3.679,0,normal,-
2024-12-12 18:10:00,752.0,5.0,40.7,3.164,0,normal,-
2024-12-12 18:15:00,742.0,4.9,40.8,2.809,0,normal,-
2024-12-12 18:20:00,750.0,4.9,40.6,2.945,0,normal,-
2024-12-12 18:25:00,752.0,4.9,40.7,2.83,0,normal,-
2024-12-12 18:30:00,752.0,4.4,40.8,2.761,0,normal,-
2024-12-12 18:35:00,755.0,4.6,40.5,3.371,0,normal,-
2024-12-12 18:40:00,753.0,4.4,39.8,3.045,0,normal,-
2024-12-12 18:45:00,751.0,4.7,40.2,2.762,0,normal,-
2024-12-12 18:50:00,751.0,4.6,39.7,3.22,0,normal,-
2024-12-12 18:55:00,752.0,4.9,39.3,3.468,0,normal,-
2024-12-12 19:00:00,748.0,5.2,39.3,3.207,0,normal,-
2024-12-12 19:05:00,750.0,5.1,39.2,3.091,0,normal,-
2024-12-12 19:10:00,753.0,5.0,39.5,3.115,0,normal,-
2024-12-12 19:15:00,756.0,5.1,39.5,3.296,0,normal,-
2024-12-12 19:20:00,750.0,5.0,39.1,3.392,0,normal,-
2024-12-12 19:25:00,750.0,4.9,39.1,3.438,0,normal,-
2024-12-12 19:30:00,751.0,4.9,39.5,3.512,0,normal,-
2024-12-12 19:35:00,754.0,5.5,38.7,3.722,0,normal,-
2024-12-12 19:40:00,750.0,5.5,39.5,3.721,0,normal,-
2024-12-12 19:45:00,754.0,5.3,39.1,3.483,0,normal,-
2024-12-12 19:50:00,747.0,4.9,38.9,2.834,0,normal,-
2024-12-12 19:55:00,749.0,5.1,39.0,3.2,0,normal,-
2024-12-12 20:00:00,749.0,4.8,38.2,3.193,0,normal,-
2024-12-12 20:05:00,752.0,4.6,38.5,2.939,0,normal,-
2024-12-12 20:10:00,753.0,4.9,38.6,3.419,0,normal,-
2024-12-12 20:15:00,745.0,4.7,38.1,3.018,0,normal,-
2024-12-12 20:20:00,747.0,5.1,38.3,3.0,0,normal,-
2024-12-12 20:25:00,751.0,5.4,38.5,3.78,0,normal,-
2024-12-12 20:30:00,748.0,5.5,38.6,3.558,0,normal,-
2024-12-12 20:35:00,745.0,5.6,39.2,3.467,0,normal,-
2024-12-12 20:40:00,753.0,6.0,39.0,3.836,0,normal,-
2024-12-12 20:45:00,751.0,5.8,39.4,3.802,0,normal,-
2024-12-12 20:50:00,751.0,5.6,39.0,3.493,0,normal,-
2024-12-12 20:55:00,749.0,5.1,39.5,2.676,0,normal,-
2024-12-12 21:00:00,753.0,5.1,39.0,3.081,0,normal,-
2024-12-12 21:05:00,749.0,5.5,38.7,3.268,0,normal,-
2024-12-12 21:10:00,753.0,5.8,39.4,3.197,0,normal,-
2024-12-12 21:15:00,747.0,5.4,39.0,3.385,0,normal,-
2024-12-12 21:20:00,747.0,5.2,39.3,3.555,0,normal,-
2024-12-12 21:25:00,751.0,5.0,39.7,3.069,0,normal,-
2024-12-12 21:30:00,748.0,5.1,38.8,2.948,0,normal,-
2024-12-12 21:35:00,752.0,5.2,38.7,3.762,0,normal,-
2024-12-12 21:40:00,751.0,5.0,39.2,3.118,0,normal,-
2024-12-12 21:45:00,747.0,5.2,38.9,2.958,0,normal,-
2024-12-12 21:50:00,750.0,5.0,39.2,3.289,0,normal,-
2024-12-12 21:55:00,749.0,5.2,38.8,3.335,0,normal,-
2024-12-12 22:00:00,5.0,0.1,35.9,0.07,0,normal,-
2024-12-12 22:05:00,0.0,0.0,33.9,0.05,0,normal,-
2024-12-12 22:10:00,0.0,0.0,31.9,0.05,0,normal,-
2024-12-12 22:15:00,0.0,0.0,30.2,0.05,0,normal,-
2024-12-12 22:20:00,0.0,0.1,28.4,0.05,0,normal,-
2024-12-12 22:25:00,0.0,0.0,27.1,0.05,0,normal,-
2024-12-12 22:30:00,0.0,0.0,25.8,0.05,0,normal,-
2024-12-12 22:35:00,0.0,0.0,24.7,0.05,0,normal,-
2024-12-12 22:40:00,0.0,0.0,24.4,0.05,0,normal,-
2024-12-12 22:45:00,0.0,0.0,23.5,0.05,0,normal,-
2024-12-12 22:50:00,0.0,0.1,22.9,0.05,0,normal,-
2024-12-12 22:55:00,0.0,0.0,22.3,0.05,0,normal,-
2024-12-12 23:00:00,0.0,0.0,22.0,0.05,0,normal,-
2024-12-12 23:05:00,0.0,0.0,21.7,0.05,0,normal,-
2024-12-12 23:10:00,0.0,0.1,20.9,0.05,0,normal,-
2024-12-12 23:15:00,0.0,0.0,20.4,0.05,0,normal,-
2024-12-12 23:20:00,0.0,0.0,20.3,0.05,0,normal,-
2024-12-12 23:25:00,0.0,0.0,20.0,0.05,0,normal,-
2024-12-12 23:30:00,0.0,0.0,20.0,0.05,0,normal,-
2024-12-12 23:35:00,0.0,0.0,20.2,0.05,0,normal,-
2024-12-12 23:40:00,0.0,0.0,19.8,0.05,0,normal,-
2024-12-12 23:45:00,0.0,0.0,19.8,0.05,0,normal,-
2024-12-12 23:50:00,0.0,0.0,20.2,0.05,0,normal,-
2024-12-12 23:55:00,0.0,0.1,19.9,0.05,0,normal,-
2024-12-13 00:00:00,0.0,0.0,19.6,0.05,0,normal,-
2024-12-13 00:05:00,0.0,0.1,20.0,0.05,0,normal,-
2024-12-13 00:10:00,0.0,0.0,19.6,0.05,0,normal,-
2024-12-13 00:15:00,0.0,0.0,19.3,0.05,0,normal,-
2024-12-13 00:20:00,0.0,0.0,19.3,0.05,0,normal,-
2024-12-13 00:25:00,0.0,0.1,19.2,0.05,0,normal,-
2024-12-13 00:30:00,0.0,0.0,18.8,0.05,0,normal,-
2024-12-13 00:35:00,0.0,0.0,19.2,0.05,0,normal,-
2024-12-13 00:40:00,0.0,0.0,19.2,0.05,0,normal,-
2024-12-13 00:45:00,0.0,0.0,18.8,0.05,0,normal,-
2024-12-13 00:50:00,0.0,0.0,19.2,0.05,0,normal,-
2024-12-13 00:55:00,0.0,0.1,19.1,0.05,0,normal,-
2024-12-13 01:00:00,0.0,0.0,19.2,0.05,0,normal,-
2024-12-13 01:05:00,0.0,0.0,19.0,0.05,0,normal,-
2024-12-13 01:10:00,0.0,0.0,19.3,0.05,0,normal,-
2024-12-13 01:15:00,0.0,0.0,19.1,0.05,0,normal,-
2024-12-13 01:20:00,0.0,0.0,19.2,0.05,0,normal,-
2024-12-13 01:25:00,0.0,0.0,18.6,0.05,0,normal,-
2024-12-13 01:30:00,0.0,0.1,18.5,0.05,0,normal,-
2024-12-13 01:35:00,0.0,0.0,18.1,0.05,0,normal,-
2024-12-13 01:40:00,0.0,0.1,18.1,0.05,0,normal,-
2024-12-13 01:45:00,0.0,0.1,18.5,0.05,0,normal,-
