dataset_name,url,source_region,source_platform,label_format,collection,notes,durum_bizde,rol,gerekce,bizde_kaynak_adi
TSB-AD-U,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,CSV last column: Label (0/1),TSB-AD,,Eklenebilir,benchmark,"Resmi değerlendirme için indirilmeli; bizim VUS-PR yaklaşık, TimeRCD ile karşılaştırma bunu gerektirir. Eğitime asla",
TSB-AD-M,https://www.thedatum.org/datasets/TSB-AD-M.zip,Global,GitHub/Web,CSV last column: Label (0/1),TSB-AD,,Eklenebilir,benchmark,Resmi değerlendirme için indirilmeli. Not: MITDB ve CATSv2 bizim eğitimde; resmi gönderimde bunlar çıkarılmış sürüm eğitilmeli,
TSB-UAD Public v2,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD,"29 datasets / 3,427 time series",Sadece değerlendirme,benchmark,TSB-AD'nin öncülü; setlerin çoğu TSB-AD ile ortak. Ek değerlendirme için,
TSB-UAD Public,https://www.thedatum.org/datasets/TSB-UAD-Public.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD,,Kopya / ayna,–,TSB-UAD Public v2'nin eski sürümü,
TSB-UAD Synthetic,https://www.thedatum.org/datasets/TSB-UAD-Synthetic.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD,,Uygun değil,–,Sentetik; kendi üreticimiz (coupled + banka) var,
TSB-UAD Artificial,https://www.thedatum.org/datasets/TSB-UAD-Artificial.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD,,Uygun değil,–,Yapay; kendi üreticimiz var,
TSB-UAD repository,https://github.com/TheDatumOrg/TSB-UAD,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD,,Katalog / araç,–,Kod deposu,
TSB-AD repository,https://github.com/TheDatumOrg/TSB-AD,Global,GitHub/Web,CSV last column: Label (0/1),TSB-AD,,Katalog / araç,–,Kod + resmi VUS değerlendiricisi; resmi ölçüm için kullanılmalı,
TSB-UAD - Dodger,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,1 time series in published benchmark table,Sadece değerlendirme,benchmark,Benchmark ailesinde (TSB-AD/TSB-UAD/TimeEval/mTSBench); eğitime girerse ölçüm geçersiz olur,
TSB-UAD - ECG,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,53 time series in published benchmark table,Sadece değerlendirme,benchmark,Benchmark ailesinde (TSB-AD/TSB-UAD/TimeEval/mTSBench); eğitime girerse ölçüm geçersiz olur. Not: MIT-BIH (MITDB) bizim eğitimde,
